"","BOROUGH","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","SALE.PRICE"
"21780",2,"4312","16656",1931,0,4,4,"5016310"
"21787",2,"1951","1450",1901,1,0,1,"580000"
"21788",2,"1951","1450",1901,1,0,1,"205000"
"21791",2,"2215","2631",1910,1,0,1,"425000"
"21792",2,"3325","2178",1940,1,0,1,"725000"
"21793",2,"1382","1606",1899,1,0,1,"368000"
"21795",2,"5515","1261",1910,1,0,1,"495000"
"21799",2,"2375","3150",1901,2,0,2,"599000"
"21800",2,"1381","2215",1901,2,0,2,"610000"
"21801",2,"2375","1830",1905,2,0,2,"430000"
"21806",2,"2375","4832",1901,2,1,3,"575000"
"21807",2,"2513","3653",2004,2,0,2,"545000"
"21808",2,"3631","2310",1899,2,0,2,"650000"
"21809",2,"2158","4290",1901,2,0,2,"339150"
"21810",2,"1875","1764",1901,2,0,2,"250000"
"21813",2,"3117","4032",1920,2,0,2,"600000"
"21814",2,"3117","4032",1920,2,0,2,"352000"
"21816",2,"5247","1469",1910,2,0,2,"555000"
"21817",2,"2332","3102",1997,3,0,3,"678000"
"21819",2,"2996","2898",1920,3,0,3,"410000"
"21820",2,"3332","2640",1930,3,0,3,"740000"
"21823",2,"2375","3300",1899,3,0,3,"585000"
"21824",2,"1727","3008",1899,3,0,3,"585000"
"21836",2,"3125","3420",1901,3,0,3,"745000"
"21839",2,"5515","3100",1920,3,0,3,"540000"
"21840",2,"7474","0",1920,0,1,1,"4900000"
"21845",2,"4437","17900",1917,27,0,27,"4700000"
"21854",2,"9975","44000",1940,50,0,50,"7720000"
"21869",2,"2347","4506",1950,2,3,5,"998000"
"21876",2,"2375","1614",1920,1,0,1,"449000"
"21886",2,"2375","3280",1899,2,0,2,"510000"
"21887",2,"2375","3404",1925,2,0,2,"385000"
"21888",2,"3152","3227",1925,2,0,2,"345000"
"21889",2,"2375","1572",1901,2,0,2,"292032"
"21893",2,"2617","2688",1930,2,1,3,"670000"
"21894",2,"2236","2680",1925,2,0,2,"761500"
"21896",2,"2243","2680",1930,2,0,2,"618000"
"21897",2,"2835","2604",1930,2,0,2,"665000"
"21901",2,"2375","2853",1920,2,0,2,"561000"
"21902",2,"3133","2080",1925,2,0,2,"385000"
"21903",2,"1568","1320",1925,2,0,2,"475000"
"21905",2,"2375","3090",1910,2,0,2,"475000"
"21906",2,"2375","2916",1910,2,0,2,"560000"
"21908",2,"1867","1704",1901,2,0,2,"250000"
"21909",2,"2375","1344",1899,2,0,2,"430950"
"21915",2,"1845","1566",1920,2,0,2,"440000"
"21918",2,"2988","2010",1901,3,0,3,"480000"
"21921",2,"2375","3906",1910,3,0,3,"585000"
"21932",2,"2565","3780",1930,3,0,3,"450000"
"21939",2,"2375","2874",1925,3,0,3,"620000"
"21941",2,"2375","2336",1905,3,0,3,"460000"
"21942",2,"2375","3926",1931,3,0,3,"325000"
"21943",2,"2375","3984",1901,3,0,3,"720000"
"21944",2,"2375","3105",2003,3,0,3,"390000"
"21948",2,"2455","1786",1920,3,0,3,"499995"
"21951",2,"3464","0",0,0,0,0,"29529"
"21958",2,"3128","3172",1924,5,0,5,"720000"
"21960",2,"3368","3286",1926,4,0,4,"450000"
"21961",2,"1858","2476",1910,4,0,4,"600000"
"22317",2,"4725","3864",1927,3,1,4,"725000"
"22321",2,"7268","5775",1930,0,1,1,"2750000"
"22322",2,"1983","2176",1930,1,1,2,"712000"
"22325",2,"2556","432",1917,0,1,1,"650000"
"22326",2,"16995","37600",1958,0,1,1,"4350000"
"22328",2,"2375","10625",1927,0,1,1,"920000"
"22334",2,"2567","2109",1945,1,0,1,"540000"
"22336",2,"3815","1500",1950,1,0,1,"550000"
"22337",2,"3815","1500",1950,1,0,1,"426000"
"22343",2,"5367","1560",1940,1,0,1,"680000"
"22347",2,"2742","1612",1965,1,0,1,"515000"
"22349",2,"4725","1664",1935,1,0,1,"870000"
"22352",2,"1696","1048",1940,1,0,1,"325000"
"22362",2,"2733","1224",1950,1,0,1,"532000"
"22366",2,"2478","768",1948,1,0,1,"400000"
"22368",2,"2492","1728",1965,1,0,1,"473000"
"22369",2,"2492","1728",1965,1,0,1,"450000"
"22372",2,"2835","1944",1965,1,0,1,"500000"
"22376",2,"3384","2950",1950,2,0,2,"655000"
"22383",2,"3142","1824",1947,2,0,2,"480000"
"22390",2,"2248","2149",1940,2,0,2,"465000"
"22393",2,"2752","1628",1935,2,0,2,"510000"
"22395",2,"2733","1980",1950,2,0,2,"550000"
"22403",2,"4257","2484",1999,2,0,2,"600000"
"22410",2,"28918","22520",1940,0,9,9,"5100000"
"22412",2,"2352","1636",1960,1,0,1,"585000"
"22413",2,"5988","2688",1970,1,0,1,"675000"
"22423",2,"2339","1664",1930,1,0,1,"530000"
"22434",2,"2458","1168",1935,1,0,1,"450000"
"22443",2,"2417","1940",1950,1,0,1,"540000"
"22445",2,"8164","2331",1950,1,0,1,"580000"
"22448",2,"3558","716",1940,1,0,1,"360000"
"22453",2,"3742","1881",1960,1,0,1,"462500"
"22458",2,"3742","1811",1925,1,0,1,"360000"
"22477",2,"2125","1648",1950,2,0,2,"290000"
"22484",2,"7355","5586",1925,2,0,2,"990000"
"22485",2,"3742","3614",1955,2,0,2,"605000"
"22489",2,"2492","2265",1950,2,0,2,"670000"
"22490",2,"2538","2265",1950,2,0,2,"680000"
"22492",2,"3742","2024",1950,2,0,2,"565000"
"22512",2,"5885","1812",1940,2,0,2,"625000"
"22515",2,"3745","3000",1915,2,0,2,"650000"
"22523",2,"1812","2520",1965,2,0,2,"581000"
"22529",2,"2525","1966",1945,2,0,2,"525000"
"22537",2,"2185","2142",1940,3,0,3,"795000"
"22538",2,"3325","4090",1920,3,0,3,"315000"
"22539",2,"3616","1651",1950,3,0,3,"342000"
"22540",2,"1875","2860",1965,3,0,3,"782281"
"22544",2,"3742","2850",1940,3,0,3,"790000"
"22547",2,"4396","0",0,0,0,0,"400000"
"22557",2,"4524","2010",1925,1,0,1,"710000"
"22558",2,"5885","1480",1925,1,0,1,"625000"
"22559",2,"2525","1980",1935,1,0,1,"579000"
"22573",2,"2834","1032",1950,1,0,1,"713000"
"22584",2,"5742","3120",1955,2,0,2,"910000"
"22600",2,"2442","2305",1955,2,0,2,"500000"
"22627",2,"2925","3041",1930,4,0,4,"750000"
"22679",2,"8926","17716",1931,0,9,9,"5700000"
"22695",2,"2738","2338",1975,1,0,1,"985000"
"22707",2,"4548","2310",1930,1,0,1,"588000"
"22709",2,"3682","1380",1960,1,0,1,"735000"
"22710",2,"4632","1380",1960,1,0,1,"738000"
"22716",2,"4622","1368",1920,1,0,1,"850000"
"22721",2,"2625","1266",2004,1,0,1,"765000"
"22722",2,"2879","1240",1940,1,0,1,"602000"
"22725",2,"2375","1672",1935,1,0,1,"685000"
"22729",2,"3336","1944",2016,1,0,1,"784052"
"22731",2,"3337","2260",2016,1,0,1,"790000"
"22733",2,"5525","1850",1930,1,0,1,"962000"
"22734",2,"5548","1344",1930,1,0,1,"525000"
"22736",2,"28616","2203",1920,1,0,1,"2400000"
"22744",2,"1881","2983",1965,2,0,2,"775000"
"22756",2,"2375","2056",1930,2,0,2,"745000"
"22760",2,"5476","3696",1960,3,0,3,"900000"
"22761",2,"6858","3224",1935,3,0,3,"979000"
"22764",2,"2415","2096",1930,3,0,3,"740000"
"22772",2,"15916","0",0,0,0,0,"2500000"
"22776",2,"2375","6260",1985,12,0,12,"4950000"
"23078",2,"124925","217360",1953,159,0,159,"30000"
"23316",2,"2847","0",0,0,0,0,"60000"
"23318",2,"1592","0",0,0,0,0,"5000"
"23337",2,"2375","1452",1940,1,0,1,"404250"
"23338",2,"2425","2256",1925,1,0,1,"375000"
"23339",2,"2375","1208",1935,1,0,1,"385000"
"23340",2,"2375","1208",1935,1,0,1,"436610"
"23341",2,"2365","1386",1910,1,0,1,"455000"
"23344",2,"2375","1840",1920,1,0,1,"599000"
"23345",2,"2494","1584",1960,1,0,1,"521000"
"23349",2,"697","1300",1925,1,1,2,"340000"
"23351",2,"3742","2100",1955,1,0,1,"535000"
"23354",2,"3965","1690",1910,1,0,1,"521000"
"23356",2,"2319","1796",1920,1,0,1,"230000"
"23357",2,"6165","840",1915,1,0,1,"230000"
"23358",2,"6944","720",1920,1,0,1,"380000"
"23362",2,"1658","933",1920,1,0,1,"280000"
"23363",2,"2291","810",1925,1,0,1,"211500"
"23365",2,"2625","1152",1955,1,0,1,"485000"
"23369",2,"1692","1820",1960,1,0,1,"460000"
"23370",2,"1692","1820",1960,1,0,1,"290000"
"23371",2,"1428","1740",1955,1,0,1,"395000"
"23375",2,"2525","1280",1920,1,0,1,"530000"
"23379",2,"3312","1999",1925,1,0,1,"525000"
"23383",2,"1995","1388",1940,1,0,1,"400000"
"23389",2,"2375","1376",1930,1,0,1,"525000"
"23390",2,"2375","1376",1930,1,0,1,"310000"
"23391",2,"3135","1920",1925,1,0,1,"305000"
"23393",2,"2375","1694",1930,1,0,1,"440000"
"23394",2,"2375","1296",1925,1,0,1,"350000"
"23400",2,"2275","2160",2001,1,0,1,"515000"
"23401",2,"2275","2160",2001,1,0,1,"375000"
"23403",2,"1623","1056",1935,1,0,1,"425000"
"23419",2,"2961","2185",1910,2,0,2,"405000"
"23420",2,"2375","1513",1920,2,0,2,"500000"
"23421",2,"1995","1944",1965,2,0,2,"410000"
"23425",2,"5348","1500",1925,2,0,2,"425000"
"23429",2,"2375","2709",1940,2,0,2,"500000"
"23431",2,"3325","1856",1955,2,0,2,"305000"
"23432",2,"3125","1827",1925,2,0,2,"540000"
"23451",2,"6772","2945",1960,2,0,2,"720000"
"23452",2,"3216","2000",1960,2,0,2,"555000"
"23453",2,"2375","1800",1920,2,0,2,"505000"
"23457",2,"1828","1969",2003,2,0,2,"780000"
"23459",2,"2967","2345",1970,2,0,2,"660000"
"23463",2,"2375","1870",2007,2,0,2,"635000"
"23466",2,"2375","1932",1920,2,0,2,"500000"
"23474",2,"2625","2435",1955,2,0,2,"525000"
"23475",2,"2557","1638",1945,2,0,2,"410000"
"23476",2,"1854","1728",1925,2,0,2,"505000"
"23482",2,"2375","1836",1930,2,0,2,"485000"
"23486",2,"2375","1536",1920,2,0,2,"440000"
"23487",2,"2375","2015",1960,2,0,2,"497000"
"23490",2,"2375","2480",1920,2,0,2,"450000"
"23491",2,"2375","2520",1920,2,0,2,"450000"
"23495",2,"4172","2205",2007,2,0,2,"565000"
"23506",2,"2596","2655",1935,2,0,2,"535000"
"23507",2,"3135","2134",2006,2,0,2,"810000"
"23508",2,"3133","2134",2007,2,0,2,"368000"
"23509",2,"3135","2136",2007,2,0,2,"790000"
"23513",2,"1725","2990",1970,3,0,3,"690000"
"23514",2,"1756","3050",1960,3,0,3,"545000"
"23519",2,"2249","3615",2006,3,0,3,"990000"
"23523",2,"2283","3325",1988,3,0,3,"550000"
"23524",2,"4722","4116",2000,3,0,3,"858244"
"23527",2,"2375","2934",1920,3,0,3,"625000"
"23529",2,"1694","3068",1920,3,0,3,"665000"
"23530",2,"3838","2562",1920,3,0,3,"625000"
"23532",2,"2375","3207",1950,3,0,3,"499890"
"23536",2,"2498","2384",1930,3,0,3,"470000"
"23550",2,"2375","2600",1927,4,0,4,"612000"
"23553",2,"2351","3200",1927,4,0,4,"820000"
"23555",2,"2375","4788",1934,6,0,6,"746931"
"23557",2,"2375","2600",1924,4,0,4,"450000"
"23587",2,"76527","52830",1954,0,19,19,"33000000"
"23588",2,"4952","4500",1936,3,2,2,"750000"
"23594",2,"5482","3000",1933,0,1,1,"782990"
"23604",2,"2176","756",1925,1,0,1,"514000"
"23608",2,"2322","970",1910,1,0,1,"265000"
"23614",2,"1925","1140",1899,1,0,1,"458784"
"23618",2,"2785","1400",1920,1,0,1,"455000"
"23619",2,"2244","1200",1920,1,0,1,"95000"
"23621",2,"7226","1060",1930,1,0,1,"45000"
"23636",2,"2825","1290",1925,1,0,1,"245000"
"23642",2,"1942","1292",1945,1,0,1,"419000"
"23643",2,"1942","1292",1945,1,0,1,"219000"
"23647",2,"2881","1440",1930,1,0,1,"385000"
"23648",2,"2881","1440",1930,1,0,1,"355743"
"23649",2,"2483","870",1920,1,0,1,"242000"
"23655",2,"2142","1792",1920,1,0,1,"410000"
"23657",2,"4536","2794",1939,2,0,2,"539000"
"23658",2,"2643","2400",2014,2,0,2,"585493"
"23660",2,"1725","2400",2015,2,0,2,"575311"
"23661",2,"1696","2400",2015,2,0,2,"364026"
"23662",2,"1696","2400",2015,2,0,2,"364026"
"23663",2,"1696","2400",2015,2,0,2,"364026"
"23664",2,"1696","2400",2015,2,0,2,"364026"
"23665",2,"1696","2400",2015,2,0,2,"364026"
"23666",2,"1952","2400",2015,2,0,2,"598221"
"23667",2,"1696","2400",2015,2,0,2,"585493"
"23668",2,"1696","2400",2015,2,0,2,"497874"
"23669",2,"1696","2400",2015,2,0,2,"544763"
"23670",2,"1696","2400",2015,2,0,2,"585493"
"23671",2,"1467","2400",2015,2,0,2,"585493"
"23672",2,"1952","1600",2015,2,0,2,"590330"
"23673",2,"1467","2400",2014,2,0,2,"550999"
"23675",2,"1467","2400",2014,2,0,2,"487000"
"23680",2,"5571","2450",1945,2,0,2,"475000"
"23681",2,"5571","2450",1945,2,0,2,"335000"
"23685",2,"1536","2380",2002,2,0,2,"555000"
"23686",2,"1536","2380",2002,2,0,2,"355184"
"23687",2,"2772","1260",1920,2,0,2,"465000"
"23688",2,"2772","1260",1920,2,0,2,"200000"
"23690",2,"2194","1868",2006,2,0,2,"530000"
"23693",2,"3519","2428",1960,2,0,2,"465000"
"23695",2,"3742","1864",1930,2,0,2,"348000"
"23705",2,"1975","2745",1975,2,0,2,"500"
"23706",2,"1975","2745",1975,2,0,2,"480000"
"23707",2,"1975","2745",1975,2,0,2,"617410"
"23721",2,"2242","1930",1955,2,0,2,"374911"
"23738",2,"2442","1990",1940,2,0,2,"437500"
"23743",2,"2542","1614",1955,2,0,2,"410000"
"23744",2,"2142","1614",1955,2,0,2,"540000"
"23745",2,"2142","1614",1955,2,0,2,"294060"
"23746",2,"2142","1614",1955,2,0,2,"405000"
"23749",2,"1925","1909",1940,2,0,2,"380000"
"23750",2,"2825","1640",1940,2,0,2,"360000"
"23752",2,"2825","2260",1920,2,0,2,"332188"
"23753",2,"2825","2260",1920,2,0,2,"666368"
"23756",2,"1946","2040",1950,2,0,2,"425000"
"23763",2,"3358","1920",1965,2,0,2,"475000"
"23766",2,"5325","2250",1935,2,0,2,"760000"
"23800",2,"2488","2680",1935,2,0,2,"640000"
"23806",2,"2875","2640",1930,2,0,2,"275000"
"23807",2,"3251","1764",1920,2,0,2,"450000"
"23808",2,"2954","2280",1901,2,0,2,"570000"
"23809",2,"2125","2016",1901,2,0,2,"690000"
"23812",2,"2193","2310",1955,2,0,2,"585000"
"23814",2,"2131","2400",1935,3,0,3,"235000"
"23816",2,"1975","2730",1975,3,0,3,"275000"
"23818",2,"1992","2730",1975,3,0,3,"680000"
"23819",2,"1992","2730",1975,3,0,3,"365650"
"23820",2,"1992","2745",1975,3,0,3,"455000"
"23821",2,"2917","2925",1975,3,0,3,"410000"
"23823",2,"2343","2875",1965,3,0,3,"500000"
"23824",2,"1933","2655",1965,3,0,3,"575000"
"23825",2,"1933","2655",1965,3,0,3,"250000"
"23826",2,"1933","2301",1965,3,0,3,"550000"
"23829",2,"2813","2800",1965,3,0,3,"525000"
"23830",2,"2842","2254",1965,3,0,3,"560000"
"23836",2,"2463","1760",1929,3,0,3,"427500"
"23867",2,"4958","2180",1930,3,0,3,"495000"
"23874",2,"1975","2764",1960,3,0,3,"545000"
"23879",2,"1958","2622",1960,3,0,3,"545000"
"23880",2,"1958","2622",1960,3,0,3,"360000"
"23883",2,"1175","2820",2004,3,0,3,"408000"
"23884",2,"1732","2764",1965,3,0,3,"505000"
"23885",2,"2442","3570",1920,3,0,3,"220000"
"23998",2,"2458","2747",1926,4,0,4,"535339"
"23999",2,"2458","2747",1926,4,0,4,"500"
"24033",2,"2433","2800",1928,4,0,4,"615000"
"24111",2,"1767","1572",1950,1,0,1,"375000"
"24114",2,"2661","1402",1935,1,0,1,"430000"
"24115",2,"2276","1044",1930,1,0,1,"419000"
"24116",2,"3199","1944",1960,1,0,1,"420000"
"24124",2,"4247","1008",1950,1,0,1,"386500"
"24127",2,"2434","1328",1965,1,0,1,"350000"
"24129",2,"2292","1224",1960,1,0,1,"455000"
"24130",2,"2616","1224",1960,1,0,1,"445000"
"24131",2,"2616","1224",1960,1,0,1,"280000"
"24132",2,"2421","1224",1960,1,0,1,"422500"
"24134",2,"3832","1732",1940,1,0,1,"499000"
"24137",2,"3245","1944",1960,1,0,1,"500000"
"24144",2,"2565","1332",1955,1,0,1,"440000"
"24146",2,"3742","1620",1955,1,0,1,"500000"
"24153",2,"2658","630",1920,1,0,1,"300000"
"24157",2,"3117","1332",1950,1,0,1,"449900"
"24162",2,"1663","468",1950,1,0,1,"430000"
"24174",2,"3932","1296",1960,1,0,1,"529000"
"24176",2,"2825","1200",1925,1,0,1,"515000"
"24178",2,"3742","1318",1950,1,0,1,"555000"
"24179",2,"3325","1908",1950,1,0,1,"295000"
"24195",2,"2842","1033",1920,1,0,1,"359000"
"24200",2,"3742","2130",1950,1,0,1,"550000"
"24201",2,"2517","1520",1925,1,0,1,"318000"
"24202",2,"2517","1520",1925,1,0,1,"595204"
"24206",2,"1942","1568",1955,1,0,1,"459000"
"24213",2,"2442","1782",1960,1,0,1,"469000"
"24215",2,"1963","2140",1925,1,0,1,"449000"
"24220",2,"1746","1728",1950,1,0,1,"482500"
"24221",2,"2525","1633",1960,1,0,1,"420000"
"24223",2,"2642","1224",1955,1,0,1,"420000"
"24225",2,"2442","1080",1955,1,0,1,"422000"
"24228",2,"1638","1224",1955,1,0,1,"389000"
"24237",2,"1598","1666",1955,1,0,1,"440000"
"24244",2,"5871","2472",1930,2,0,2,"650000"
"24246",2,"3929","2552",1920,2,0,2,"665000"
"24264",2,"2829","1600",1925,2,0,2,"468750"
"24271",2,"3917","3990",1930,2,0,2,"366054"
"24280",2,"2793","1536",1950,2,0,2,"420000"
"24288",2,"2792","2736",1970,2,0,2,"600000"
"24291",2,"3956","3181",1975,2,0,2,"762500"
"24297",2,"3333","1802",1920,2,0,2,"430000"
"24309",2,"2233","1641",1950,2,0,2,"425000"
"24313",2,"3325","2212",1950,2,0,2,"355000"
"24325",2,"2538","1600",1930,2,0,2,"200000"
"24326",2,"2538","1600",1930,2,0,2,"300000"
"24331",2,"2181","1600",1925,2,0,2,"550000"
"24333",2,"2552","1624",1950,2,0,2,"449000"
"24334",2,"2185","1890",1910,2,0,2,"294060"
"24346",2,"2352","1600",1920,2,0,2,"539000"
"24351",2,"1875","2100",1925,2,0,2,"355000"
"24352",2,"3742","888",1940,2,0,2,"310000"
"24353",2,"3131","2322",1940,2,0,2,"611000"
"24354",2,"2511","2838",1940,2,0,2,"570000"
"24355",2,"2379","2014",1960,2,0,2,"510000"
"24362",2,"2342","2700",1950,2,0,2,"570000"
"24366",2,"1967","2280",1955,2,0,2,"360000"
"24370",2,"2713","2624",1964,3,0,3,"693000"
"24374",2,"2233","2664",1999,3,0,3,"282500"
"24375",2,"2345","3393",2001,3,0,3,"735000"
"24383",2,"3742","2224",1935,3,0,3,"635000"
"24388",2,"1927","2376",1925,3,0,3,"400000"
"24389",2,"2188","3405",2004,3,0,3,"720000"
"24390",2,"3158","3408",2004,3,0,3,"560000"
"24391",2,"2333","3298",1999,3,0,3,"770000"
"24442",2,"6465","7200",1999,0,1,1,"2030000"
"24444",2,"2575","2611",1932,2,1,3,"350000"
"24455",2,"2872","1760",1901,1,0,1,"599000"
"24463",2,"2267","1918",1930,1,0,1,"426000"
"24464",2,"2198","1286",1925,1,0,1,"392000"
"24465",2,"2742","1400",1945,1,0,1,"345000"
"24466",2,"2375","1044",1930,1,0,1,"440000"
"24469",2,"2338","1186",1920,1,0,1,"380000"
"24470",2,"2379","1186",1920,1,0,1,"390000"
"24471",2,"3327","1064",1920,1,0,1,"446000"
"24472",2,"3327","1064",1920,1,0,1,"300000"
"24473",2,"2375","1425",1950,1,0,1,"410000"
"24474",2,"3555","1554",1935,1,0,1,"385000"
"24475",2,"2375","1188",1950,1,0,1,"255000"
"24476",2,"2375","1338",1935,1,0,1,"370000"
"24478",2,"1314","1248",1940,1,0,1,"263639"
"24479",2,"2185","1536",1950,1,0,1,"345000"
"24480",2,"1721","1585",1960,1,0,1,"270000"
"24486",2,"1958","690",1950,1,0,1,"325000"
"24490",2,"2425","1056",1955,1,0,1,"245000"
"24491",2,"2622","1260",1950,1,0,1,"370000"
"24496",2,"1847","1312",1940,1,0,1,"220000"
"24498",2,"1728","1813",1960,1,0,1,"465548"
"24499",2,"1728","1813",1960,1,0,1,"236775"
"24501",2,"2375","1312",1925,1,0,1,"400000"
"24510",2,"2435","1952",1925,1,0,1,"363000"
"24512",2,"1559","1376",1935,1,0,1,"319000"
"24515",2,"4871","1068",1910,2,0,2,"655000"
"24518",2,"2951","1800",2010,1,0,1,"460000"
"24520",2,"1127","1120",1920,1,0,1,"445000"
"24522",2,"2435","1128",1925,1,0,1,"200000"
"24523",2,"2435","1024",1925,1,0,1,"255000"
"24524",2,"2295","1530",1960,1,0,1,"365000"
"24525",2,"1453","1216",1945,1,0,1,"410000"
"24533",2,"2167","1152",1960,1,0,1,"350000"
"24540",2,"2899","2154",1901,2,0,2,"590000"
"24543",2,"2863","2324",1915,2,0,2,"565000"
"24548",2,"3132","3780",2000,2,0,2,"585000"
"24555",2,"2356","1674",1955,2,0,2,"520000"
"24557",2,"2375","1614",1930,2,0,2,"226000"
"24560",2,"2375","1632",1930,2,0,2,"260000"
"24562",2,"2375","1690",1955,2,0,2,"30000"
"24565",2,"2945","1800",1910,2,0,2,"320000"
"24567",2,"2185","2124",1935,2,0,2,"495000"
"24568",2,"2637","1766",1940,2,0,2,"420000"
"24569",2,"2376","2200",1965,2,0,2,"234000"
"24571",2,"1916","2695",1965,2,0,2,"580000"
"24572",2,"1868","2560",1965,2,0,2,"525000"
"24575",2,"2425","1700",1925,2,0,2,"529000"
"24580",2,"2625","2064",1920,2,0,2,"510000"
"24581",2,"4876","2556",1930,2,0,2,"624000"
"24587",2,"2288","2530",1965,2,0,2,"540000"
"24590",2,"1754","1152",1935,2,0,2,"359970"
"24600",2,"2431","2048",1901,2,0,2,"405600"
"24611",2,"2185","2160",1930,2,0,2,"440000"
"24612",2,"2467","3066",1950,2,0,2,"500000"
"24617",2,"3325","2986",2005,2,0,2,"80000"
"24622",2,"1995","2824",1965,2,0,2,"503000"
"24624",2,"3555","2484",1920,2,0,2,"665000"
"24627",2,"4155","3060",1930,2,0,2,"540000"
"24628",2,"2625","1408",1920,2,0,2,"319410"
"24629",2,"2118","1532",1920,2,0,2,"453625"
"24630",2,"2625","1280",1920,2,0,2,"475000"
"24639",2,"2175","3420",2006,3,0,3,"730000"
"24640",2,"2175","3420",2006,3,0,3,"425000"
"24642",2,"2375","3100",1935,3,0,3,"250000"
"24644",2,"2152","3476",1920,3,0,3,"340000"
"24650",2,"4994","2660",1925,3,0,3,"450000"
"24653",2,"3751","2876",1930,3,0,3,"575000"
"24654",2,"8736","3458",1935,3,0,3,"700000"
"24660",2,"3465","2420",1930,4,0,4,"475000"
"24661",2,"8316","26280",1931,27,0,27,"4630000"
"24672",2,"3388","2160",1925,1,2,2,"290000"
"24684",2,"6375","28300",1923,0,2,2,"2900000"
"24689",2,"2119","1960",1960,1,0,1,"420000"
"24691",2,"1854","1188",1950,1,0,1,"400000"
"24692",2,"2575","1331",1930,1,0,1,"455000"
"24694",2,"2575","1371",1940,1,0,1,"445000"
"24699",2,"2187","1586",1920,1,0,1,"425000"
"24700",2,"2375","1224",1961,1,0,1,"530000"
"24701",2,"2375","1224",1961,1,0,1,"350000"
"24702",2,"2385","1530",1930,1,0,1,"345000"
"24703",2,"2965","864",1910,1,0,1,"400000"
"24704",2,"1649","1010",1910,1,0,1,"319000"
"24706",2,"2498","1936",1920,2,0,2,"468000"
"24709",2,"2575","3330",1915,2,0,2,"489250"
"24712",2,"2472","2660",1940,2,0,2,"240000"
"24717",2,"2575","3676",1930,2,0,2,"457000"
"24722",2,"2289","1953",1910,2,0,2,"450000"
"24723",2,"2565","2016",1910,2,0,2,"500000"
"24725",2,"2554","2694",1930,2,0,2,"455000"
"24739",2,"3645","2691",1945,2,0,2,"456000"
"24741",2,"3135","1904",1935,2,0,2,"600000"
"24744",2,"2464","2016",1905,2,0,2,"600000"
"24745",2,"2639","2120",1920,2,0,2,"620000"
"24748",2,"2967","2220",1910,2,0,2,"680000"
"24749",2,"2392","1360",1901,2,0,2,"250000"
"24754",2,"3879","2180",1910,2,0,2,"460000"
"24755",2,"1846","1516",1910,2,0,2,"640000"
"24757",2,"2363","3465",1920,2,0,2,"378000"
"24759",2,"2527","2720",1910,2,0,2,"489000"
"24762",2,"1482","2388",2005,2,0,2,"615000"
"24763",2,"998","3233",1915,2,1,3,"470000"
"24764",2,"2184","2964",1910,2,1,3,"575000"
"24765",2,"2384","2092",1920,2,0,2,"320000"
"24766",2,"5174","1900",1920,2,0,2,"410670"
"24770",2,"3226","1858",1940,2,0,2,"365000"
"24773",2,"2423","2100",1910,2,1,3,"410000"
"24774",2,"3224","1808",1915,3,0,3,"292600"
"24775",2,"3851","2529",1920,3,0,3,"485000"
"24777",2,"3125","4003",2005,3,0,3,"575000"
"24779",2,"1335","2529",2006,3,0,3,"570000"
"24780",2,"2388","3825",2005,3,0,3,"700000"
"24781",2,"2135","2600",1920,3,0,3,"665000"
"24783",2,"3225","3544",1910,3,0,3,"650000"
"24795",2,"2667","3280",1925,4,0,4,"700000"
"24796",2,"2486","7316",2001,8,0,8,"3080000"
"24805",2,"3245","13680",1927,15,0,15,"2500000"
"24806",2,"4428","6093",1931,7,0,7,"850000"
"24809",2,"2789","3160",1926,4,0,4,"770000"
"24810",2,"2589","3520",1926,4,0,4,"56000"
"24819",2,"5291","5261",1970,0,1,1,"7000000"
"24832",2,"3333","1320",1915,1,0,1,"347000"
"24836",2,"2861","1344",1925,1,0,1,"349000"
"24837",2,"2856","1617",1925,1,0,1,"575000"
"24839",2,"2856","1617",1925,1,0,1,"325000"
"24840",2,"2375","4012",1927,1,1,2,"381843"
"24842",2,"1656","1880",1925,1,1,2,"20000"
"24844",2,"2856","1267",1910,1,0,1,"312500"
"24845",2,"2856","1387",1910,1,0,1,"243508"
"24846",2,"5713","792",1920,1,0,1,"410000"
"24847",2,"1892","1690",1960,1,0,1,"302000"
"24848",2,"1424","1347",1905,1,0,1,"375000"
"24849",2,"2854","2454",1925,1,0,1,"434200"
"24856",2,"2375","976",1899,1,0,1,"336000"
"24857",2,"2233","1534",1945,1,0,1,"369000"
"24862",2,"2279","1890",1950,1,0,1,"360000"
"24866",2,"1988","1331",1935,1,0,1,"270000"
"24868",2,"1853","1800",1945,1,0,1,"390000"
"24876",2,"3685","1447",1925,1,0,1,"240000"
"24877",2,"1383","1332",1960,1,0,1,"389000"
"24879",2,"2619","1828",1920,1,0,1,"300000"
"24883",2,"2867","2015",1955,1,0,1,"420000"
"24887",2,"1584","1020",1955,1,0,1,"410000"
"24888",2,"1562","884",1955,1,0,1,"320000"
"24896",2,"1692","1050",1925,1,0,1,"346500"
"24898",2,"2735","1184",1925,1,0,1,"285000"
"24900",2,"5471","2160",1940,1,0,1,"25000"
"24901",2,"2142","1392",1950,1,0,1,"385000"
"24902",2,"1751","1392",1950,1,0,1,"215000"
"24904",2,"1751","1392",1950,1,0,1,"292200"
"24908",2,"4513","2040",1945,1,0,1,"460000"
