"","BOROUGH","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","SALE.PRICE"
"76800",5,"2467","1700",1970,1,0,1,"406666"
"76809",5,"1428","1321",1994,1,0,1,"426000"
"76811",5,"1428","1321",1994,1,0,1,"270000"
"76813",5,"2375","1440",1973,1,0,1,"363000"
"76814",5,"2725","1320",1970,1,0,1,"430000"
"76821",5,"1476","1159",1988,1,0,1,"350000"
"76823",5,"1656","1595",1988,1,0,1,"380000"
"76825",5,"1472","1324",1988,1,0,1,"351500"
"76826",5,"1472","1324",1993,1,0,1,"350000"
"76827",5,"1818","1595",1988,1,0,1,"400000"
"76831",5,"1638","1595",1988,1,0,1,"415000"
"76832",5,"1638","1159",1988,1,0,1,"320000"
"76833",5,"1638","1159",1988,1,0,1,"285000"
"76834",5,"1638","1159",1988,1,0,1,"500"
"76836",5,"1638","1595",1988,1,0,1,"358000"
"76841",5,"1638","1159",1988,1,0,1,"292500"
"76842",5,"1456","953",1993,1,0,1,"315000"
"76843",5,"4494","1312",1915,1,0,1,"300000"
"76845",5,"1559","1595",1995,1,0,1,"350000"
"76846",5,"1349","993",1995,1,0,1,"290000"
"76851",5,"2525","1472",1978,1,0,1,"340000"
"76853",5,"2396","1232",2005,1,0,1,"375000"
"76859",5,"2475","1504",1980,1,0,1,"589000"
"76860",5,"2425","1504",1980,1,0,1,"535000"
"76866",5,"5821","1922",1970,1,0,1,"815000"
"76870",5,"2925","1360",1970,1,0,1,"445000"
"76880",5,"3552","2080",1970,1,0,1,"640000"
"76885",5,"6745","1536",1955,2,0,2,"580000"
"76886",5,"3373","1344",2005,2,0,2,"630000"
"76905",5,"2316","1280",1978,2,0,2,"540000"
"76906",5,"4278","2544",1970,2,0,2,"670000"
"76907",5,"4278","2544",1970,2,0,2,"700000"
"76911",5,"4738","2808",1975,2,0,2,"750000"
"76915",5,"3379","2176",1970,2,0,2,"269550"
"76916",5,"4312","2152",1970,2,0,2,"675000"
"76917",5,"3953","1845",2015,2,0,2,"506998"
"76918",5,"2668","1884",2015,2,0,2,"609931"
"76919",5,"1383","1884",2015,2,0,2,"570220"
"76921",5,"2565","1884",2015,2,0,2,"609931"
"76923",5,"2369","1884",2015,2,0,2,"589566"
"76927",5,"3388","1868",1960,2,0,2,"499999"
"76930",5,"3842","1900",1970,2,0,2,"467500"
"76932",5,"3488","1960",1983,2,0,2,"430000"
"76933",5,"3225","1683",1983,2,0,2,"520000"
"76937",5,"3275","1624",1983,2,0,2,"534888"
"76938",5,"3225","2220",1984,2,0,2,"557500"
"76939",5,"3325","1624",1980,2,0,2,"479000"
"76940",5,"3296","1624",1980,2,0,2,"491000"
"76941",5,"3567","2121",1984,2,0,2,"550000"
"76961",5,"2652","1530",1979,2,0,2,"540000"
"76965",5,"4379","1530",1980,2,0,2,"605000"
"77001",5,"3171","2068",1975,3,0,3,"570000"
"77096",5,"4158","1196",1955,1,0,1,"610000"
"77114",5,"2625","1200",1910,1,0,1,"382000"
"77115",5,"4755","1043",1915,1,0,1,"499900"
"77116",5,"9628","1900",1931,1,1,2,"528000"
"77118",5,"2134","2040",1996,1,0,1,"483000"
"77129",5,"3363","1367",1920,1,0,1,"455000"
"77148",5,"7479","5182",2016,1,1,1,"945954"
"77160",5,"4242","2500",1955,1,0,1,"769000"
"77171",5,"1998","1216",1995,1,0,1,"475000"
"77175",5,"4226","1316",1920,1,0,1,"560000"
"77189",5,"3313","2058",2016,1,0,1,"660844"
"77198",5,"5216","1456",1931,2,0,2,"499000"
"77199",5,"2352","1728",1950,2,0,2,"300000"
"77202",5,"2185","1470",1940,2,0,2,"275000"
"77205",5,"6371","1610",2005,2,0,2,"670000"
"77208",5,"4725","2464",1960,2,0,2,"625000"
"77218",5,"4443","2224",2010,2,0,2,"808000"
"77231",5,"22119","11000",1954,0,1,1,"3700000"
"77237",5,"2538","1600",2004,1,0,1,"595000"
"77240",5,"5497","3504",2016,1,0,1,"962246"
"77242",5,"2517","1600",2004,1,0,1,"515000"
"77244",5,"7327","2405",1957,1,0,1,"450000"
"77245",5,"1855","1920",1989,1,0,1,"450000"
"77250",5,"3918","1700",1992,1,0,1,"760000"
"77251",5,"9945","1324",1960,1,0,1,"35000"
"77253",5,"2756","680",1955,1,0,1,"351000"
"77257",5,"1792","1568",1938,1,1,2,"76386"
"77260",5,"2668","1563",1930,1,0,1,"569000"
"77263",5,"4747","1122",1939,1,0,1,"535000"
"77271",5,"3822","1712",1965,1,0,1,"680000"
"77282",5,"3317","1674",1935,1,0,1,"555000"
"77292",5,"6375","1616",1920,1,0,1,"450000"
"77296",5,"3525","1140",1920,1,0,1,"530000"
"77297",5,"2175","1705",2016,1,0,1,"384306"
"77299",5,"1819","1069",2016,1,0,1,"420810"
"77301",5,"3243","944",1920,1,0,1,"415000"
"77304",5,"7399","1348",1955,1,0,1,"675000"
"77307",5,"2714","1260",1986,1,0,1,"465000"
"77308",5,"2714","1260",1986,1,0,1,"460000"
"77309",5,"2478","1170",1986,1,0,1,"420000"
"77312",5,"2415","1212",1960,1,0,1,"335088"
"77317",5,"3773","1212",1915,2,0,2,"490000"
"77320",5,"5554","1431",1955,2,0,2,"622000"
"77358",5,"2975","896",1899,1,0,1,"271959"
"77361",5,"2772","1348",1899,1,0,1,"280000"
"77369",5,"2321","1276",2010,1,0,1,"360000"
"77370",5,"2525","1344",2001,1,0,1,"474000"
"77373",5,"2334","1288",1955,1,0,1,"350000"
"77374",5,"2648","1288",1955,1,0,1,"330000"
"77377",5,"1311","1066",2004,1,0,1,"339000"
"77379",5,"1167","1066",2004,1,0,1,"345000"
"77382",5,"1875","1200",1910,1,0,1,"330000"
"77396",5,"1933","1400",1988,1,0,1,"305000"
"77397",5,"592","832",1986,1,0,1,"230000"
"77398",5,"1184","1248",1986,1,0,1,"300000"
"77399",5,"1184","1248",1987,1,0,1,"325000"
"77400",5,"888","1248",1987,1,0,1,"243360"
"77402",5,"888","1248",1987,1,0,1,"6400"
"77404",5,"816","1248",1987,1,0,1,"263000"
"77407",5,"618","700",1994,1,0,1,"236000"
"77412",5,"1645","1150",2004,1,0,1,"350000"
"77413",5,"975","1150",2004,1,0,1,"265000"
"77422",5,"1226","1720",1986,1,0,1,"250000"
"77423",5,"5467","960",1905,1,0,1,"465000"
"77424",5,"2267","1576",1987,1,0,1,"520000"
"77425",5,"1633","1720",1985,1,0,1,"687030"
"77434",5,"2875","2281",1910,2,0,2,"470000"
"77442",5,"3886","2860",2014,2,0,2,"680000"
"77445",5,"3825","1456",1905,2,0,2,"550000"
"77454",5,"9375","2000",1960,0,1,1,"500000"
"77457",5,"1975","1320",1931,0,1,1,"275000"
"77458",5,"1428","400",1800,0,1,1,"340000"
"77459",5,"55795","19435",1931,0,1,1,"3400000"
"77463",5,"2533","924",1991,1,0,1,"285000"
"77464",5,"1176","1494",1992,1,0,1,"268000"
"77465",5,"1176","1404",1992,1,0,1,"360000"
"77466",5,"871","936",1992,1,0,1,"359000"
"77467",5,"819","1701",1992,1,0,1,"241819"
"77474",5,"992","600",1995,1,0,1,"290000"
"77478",5,"1134","780",1995,1,0,1,"227136"
"77490",5,"5991","2392",1965,1,0,1,"750000"
"77493",5,"6475","1118",1965,1,0,1,"580000"
"77497",5,"1728","1380",1980,1,0,1,"490000"
"77502",5,"998","1036",1990,1,0,1,"450000"
"77504",5,"3761","2050",2016,1,0,1,"890968"
"77510",5,"1498","1639",1986,1,0,1,"405000"
"77519",5,"1694","1200",1970,1,0,1,"437000"
"77522",5,"2461","1570",1996,1,0,1,"538000"
"77524",5,"3944","1040",2016,2,0,2,"804417"
"77532",5,"3157","1672",1941,1,0,1,"320000"
"77534",5,"5724","2376",1965,2,0,2,"510000"
"77535",5,"4315","2580",2001,2,0,2,"875000"
"77540",5,"4774","1517",2016,2,0,2,"987702"
"77541",5,"5655","1880",1945,2,0,2,"715000"
"77543",5,"2373","1440",1998,2,0,2,"705000"
"77554",5,"11642","1688",1925,2,0,2,"999999"
"77576",5,"3895","960",1955,1,0,1,"580000"
"77581",5,"14946","1536",1965,1,0,1,"700000"
"77582",5,"4383","1794",1965,1,0,1,"730000"
"77583",5,"6954","3325",1965,1,0,1,"920000"
"77586",5,"9157","2313",1965,1,0,1,"747000"
"77590",5,"6264","1824",1965,1,0,1,"635000"
"77618",5,"9945","2296",1955,1,0,1,"859000"
"77645",5,"3125","1376",2004,2,0,2,"625000"
"77656",5,"3977","1128",1970,1,0,1,"530000"
"77662",5,"6279","1440",1955,1,1,2,"450000"
"77703",5,"4214","1840",1984,1,0,1,"505000"
"77709",5,"6862","1848",1975,1,0,1,"705000"
"77714",5,"2675","1410",1975,1,0,1,"535000"
"77715",5,"2475","1410",1975,1,0,1,"530000"
"77720",5,"1417","1260",1983,1,0,1,"475000"
"77724",5,"3168","1260",1983,1,0,1,"400000"
"77732",5,"2726","1458",1970,1,0,1,"525000"
"77733",5,"2755","1458",1970,1,0,1,"316368"
"77734",5,"2716","1234",1970,1,0,1,"452000"
"77765",5,"4484","1908",2016,1,0,1,"722957"
"77766",5,"1274","1240",1987,1,0,1,"353000"
"77768",5,"1444","1240",1988,1,0,1,"212582"
"77770",5,"992","736",1988,1,0,1,"336000"
"77771",5,"992","736",1988,1,0,1,"297965"
"77772",5,"486","816",1988,1,0,1,"255000"
"77774",5,"2493","1692",2008,1,0,1,"599000"
"77782",5,"2542","1360",1973,1,0,1,"550000"
"77783",5,"1395","1330",1992,1,0,1,"360000"
"77786",5,"2764","1632",1975,1,0,1,"423000"
"77805",5,"2691","1140",1978,1,0,1,"525000"
"77806",5,"1437","1396",1991,1,0,1,"430000"
"77807",5,"1135","1396",1991,1,0,1,"400000"
"77808",5,"2392","1440",1976,1,0,1,"8000"
"77816",5,"645","1480",1989,1,0,1,"290000"
"77817",5,"797","1480",1989,1,0,1,"333000"
"77821",5,"1792","1204",2001,1,0,1,"348900"
"77843",5,"2742","1560",1975,1,0,1,"465000"
"77847",5,"2342","1472",1975,1,0,1,"485000"
"77848",5,"2933","1332",1980,1,0,1,"499000"
"77852",5,"2783","1440",1980,1,0,1,"425000"
"77856",5,"3528","1440",1960,1,0,1,"550000"
"77862",5,"3393","2000",1980,1,0,1,"560000"
"77868",5,"2755","1440",1974,1,0,1,"535000"
"77883",5,"4275","1764",1974,1,0,1,"515000"
"77899",5,"2793","1800",2001,2,0,2,"535000"
"77900",5,"2793","1800",2001,2,0,2,"560000"
"77906",5,"3387","1776",2015,2,0,2,"280000"
"77907",5,"2992","2250",1996,2,0,2,"695000"
"77923",5,"3465","2000",1970,2,0,2,"615000"
"77924",5,"7599","1344",1930,2,0,2,"515000"
"77937",5,"3863","2326",1970,2,0,2,"700000"
"77947",5,"4242","1720",1965,2,0,2,"490000"
"77949",5,"2912","2000",1986,2,0,2,"390000"
"77950",5,"3563","1425",2003,2,0,2,"575000"
"77953",5,"3854","2000",1980,2,0,2,"499000"
"77959",5,"2376","900",1988,2,0,2,"476000"
"77962",5,"4796","2088",1978,2,0,2,"530000"
"77963",5,"3936","2088",1978,2,0,2,"653000"
"77966",5,"4223","1600",1993,2,0,2,"565000"
"77983",5,"2125","1350",2003,2,0,2,"550000"
"78003",5,"26321","1504",1955,1,0,1,"950000"
"78008",5,"4876","2440",1970,2,0,2,"850000"
"78012",5,"1552","1124",1996,1,0,1,"309003"
"78013",5,"8642","1800",1958,0,2,2,"90000"
"78020",5,"2275","1234",1960,1,0,1,"425000"
"78022",5,"2275","1400",1990,1,0,1,"479000"
"78023",5,"2275","1400",1990,1,0,1,"509000"
"78028",5,"2183","1312",1960,1,0,1,"430000"
"78029",5,"2265","1312",1960,1,0,1,"425000"
"78030",5,"2761","1870",1970,1,0,1,"470000"
"78033",5,"5195","880",1955,1,0,1,"615000"
"78042",5,"2625","1200",1960,1,0,1,"506000"
"78050",5,"5468","912",1960,1,0,1,"559000"
"78051",5,"3125","1408",2003,1,0,1,"587000"
"78066",5,"2745","1672",1970,1,0,1,"540000"
"78067",5,"5155","1008",1965,1,0,1,"565000"
"78069",5,"5125","2250",1960,1,0,1,"875000"
"78084",5,"3222","1667",2000,2,0,2,"657500"
"78085",5,"3737","1494",2009,2,0,2,"700000"
"78091",5,"4412","1816",2004,2,0,2,"905000"
"78103",5,"5376","1251",1955,2,0,2,"750000"
"78178",5,"16761","9898",2008,0,1,1,"6150000"
"78186",5,"3748","2600",2007,1,0,1,"572000"
"78188",5,"5943","1350",1965,1,0,1,"740000"
"78189",5,"5123","1931",1970,1,0,1,"660000"
"78191",5,"3825","1812",1920,1,0,1,"567200"
"78195",5,"2142","1408",1998,1,0,1,"570000"
"78196",5,"2635","1008",1930,1,0,1,"545000"
"78197",5,"5967","864",1950,1,0,1,"500000"
"78200",5,"2267","1344",1960,1,0,1,"483000"
"78209",5,"2664","1830",2016,1,0,1,"518175"
"78210",5,"2723","1830",2016,1,0,1,"529490"
"78216",5,"2325","2025",1988,1,0,1,"480000"
"78230",5,"1235","1320",1989,1,0,1,"460000"
"78234",5,"1875","1584",2004,1,0,1,"570000"
"78247",5,"3245","2000",1960,2,0,2,"705000"
"78255",5,"8928","1392",1970,2,0,2,"475000"
"78275",5,"6515","4200",1970,0,2,2,"745000"
"78279",5,"936","960",1986,1,0,1,"318000"
"78280",5,"936","960",1986,1,0,1,"322000"
"78287",5,"936","576",1986,1,0,1,"290000"
"78288",5,"936","864",1986,1,0,1,"359900"
"78289",5,"936","864",1986,1,0,1,"250000"
"78295",5,"2352","1675",1986,1,0,1,"545000"
"78299",5,"2475","1872",1986,1,0,1,"572000"
"78304",5,"1485","1350",1986,1,0,1,"429900"
"78307",5,"3296","1346",1986,1,0,1,"565000"
"78308",5,"1484","1099",1986,1,0,1,"355000"
"78309",5,"688","2904",1988,1,0,1,"371589"
"78311",5,"946","2112",1988,1,0,1,"363000"
